band_index,attention
0.0,0.0
1.0,0.14101924002170563
2.0,0.1355176568031311
3.0,0.15161491930484772
4.0,0.158388152718544
5.0,0.16041041910648346
6.0,0.15525516867637634
7.0,0.13250696659088135
8.0,0.08425793796777725
9.0,0.012013303115963936
10.0,0.14324724674224854
11.0,0.2895336449146271
12.0,0.2069183737039566
13.0,0.22636570036411285
14.0,0.2341570407152176
15.0,0.23651538789272308
16.0,0.23054325580596924
17.0,0.20024864375591278
18.0,0.1889830082654953
19.0,0.21476365625858307
20.0,0.376762330532074
21.0,0.6423771381378174
22.0,0.4265783727169037
23.0,0.4647485613822937
24.0,0.4792538285255432
25.0,0.4834047853946686
26.0,0.47529280185699463
27.0,0.426039457321167
28.0,0.39943820238113403
29.0,0.46703723073005676
30.0,0.54273521900177
31.0,0.8918465971946716
32.0,0.6250627040863037
33.0,0.6813352108001709
34.0,0.7004904747009277
35.0,0.70521479845047
36.0,0.6941226720809937
37.0,0.6252848505973816
38.0,0.5751329660415649
39.0,0.6795835494995117
40.0,0.594002366065979
41.0,0.982103168964386
42.0,0.6976191997528076
43.0,0.7594143748283386
44.0,0.7801662683486938
45.0,0.7847964763641357
46.0,0.7725536227226257
47.0,0.6983487010002136
48.0,0.6478186249732971
49.0,0.7705131769180298
50.0,0.6052021980285645
51.0,1.0
52.0,0.7105875611305237
53.0,0.7735171318054199
54.0,0.7945054173469543
55.0,0.798767626285553
56.0,0.7859731912612915
57.0,0.7109246253967285
58.0,0.6620581746101379
59.0,0.7873180508613586
60.0,0.5878900289535522
61.0,0.978584349155426
62.0,0.6916890144348145
63.0,0.7523142695426941
64.0,0.7729290723800659
65.0,0.7766836881637573
66.0,0.7646196484565735
67.0,0.6904788017272949
68.0,0.6442015171051025
69.0,0.7685266733169556
70.0,0.5100542902946472
71.0,0.9356241822242737
72.0,0.7138034701347351
73.0,0.7741985321044922
74.0,0.7943984270095825
75.0,0.7976447939872742
76.0,0.787273108959198
77.0,0.7031224370002747
78.0,0.6727322936058044
79.0,0.7459471821784973
80.0,0.3581661283969879
81.0,0.7284687161445618
82.0,0.7586337327957153
83.0,0.840090811252594
84.0,0.8657455444335938
85.0,0.8688556551933289
86.0,0.8598092794418335
87.0,0.7855144143104553
88.0,0.6885743737220764
89.0,0.569499135017395
90.0,0.18467560410499573
91.0,0.7365838885307312
92.0,0.8780169486999512
93.0,0.9699802398681641
94.0,0.9944954514503479
95.0,0.9975413084030151
96.0,0.9831281304359436
97.0,0.8556352257728577
98.0,0.5021648406982422
99.0,0.09955382347106934
