band_index,attention
0.0,1.8126314898836426e-05
1.0,2.9989631002536044e-05
2.0,3.9935257518664e-05
3.0,4.342776446719654e-05
4.0,4.333508331910707e-05
5.0,4.3187545088585466e-05
6.0,4.315876867622137e-05
7.0,3.752877819351852e-05
8.0,2.2808379071648233e-05
9.0,0.0
10.0,2.709051659621764e-05
11.0,4.240647467668168e-05
12.0,0.00010786294296849519
13.0,0.00012893439270555973
14.0,0.00013289818889461458
15.0,0.00013403659977484494
16.0,0.00012833645450882614
17.0,7.448398537235335e-05
18.0,2.447731458232738e-05
19.0,5.676498403772712e-06
20.0,0.00014436509809456766
21.0,0.004031283315271139
22.0,0.03992048650979996
23.0,0.1059202030301094
24.0,0.14907659590244293
25.0,0.15966691076755524
26.0,0.13821569085121155
27.0,0.05119470879435539
28.0,0.0002466008299961686
29.0,2.0758478058269247e-05
30.0,0.0002485266304574907
31.0,0.02028462663292885
32.0,0.16914357244968414
33.0,0.4180690348148346
34.0,0.5947883725166321
35.0,0.6489272713661194
36.0,0.5775023698806763
37.0,0.2076389044523239
38.0,0.001606687088496983
39.0,4.4268148485571146e-05
40.0,0.00025704147992655635
41.0,0.032052453607320786
42.0,0.2979552745819092
43.0,0.672266960144043
44.0,0.9002698659896851
45.0,0.957949161529541
46.0,0.792670488357544
47.0,0.24968281388282776
48.0,0.0026894977781921625
49.0,5.939080801908858e-05
50.0,0.0002589142241049558
51.0,0.03325833007693291
52.0,0.3138895630836487
53.0,0.7037390470504761
54.0,0.940737783908844
55.0,1.0
56.0,0.8303870558738708
57.0,0.2667405903339386
58.0,0.0027920620050281286
59.0,6.084064443712123e-05
60.0,0.0002588244096841663
61.0,0.033303938806056976
62.0,0.30433565378189087
63.0,0.6725985407829285
64.0,0.8914310336112976
65.0,0.9415449500083923
66.0,0.7742897868156433
67.0,0.2516111731529236
68.0,0.002735833404585719
69.0,5.7967852626461536e-05
70.0,0.00027831547777168453
71.0,0.03222900629043579
72.0,0.2765328884124756
73.0,0.5889602899551392
74.0,0.7674610614776611
75.0,0.8012620210647583
76.0,0.6467280387878418
77.0,0.20329372584819794
78.0,0.0019949597772210836
79.0,4.422520214575343e-05
80.0,0.00016546521510463208
81.0,0.0381738655269146
82.0,0.2671983242034912
83.0,0.5462778210639954
84.0,0.6925830841064453
85.0,0.7027720212936401
86.0,0.547161877155304
87.0,0.16452544927597046
88.0,0.0010496957693248987
89.0,3.8457314076367766e-05
90.0,1.5241756045725197e-05
91.0,0.0386347621679306
92.0,0.21071286499500275
93.0,0.4026045501232147
94.0,0.5037510991096497
95.0,0.5086631774902344
96.0,0.4139345586299896
97.0,0.22041943669319153
98.0,0.0011600201250985265
99.0,1.723932109598536e-05
